Course Number,Course Title,7th Grade,8th Grade,Master Total,Rounded Total,Average Class Size,
CE807,TV Studio Prod,16,20,36,1,36,
CE820F,Wood Mfg 2,0,37,37,1,37,
CE9701,Wood/Robotics,256,35,291,8,36.375,*must be 8
CE9772,Wood/Drafting,25,12,37,1,37,
CE9776,Animation/Mine,71,0,71,2,35.5,*must be 2
CE9777,Animation/Draft,43,35,78,2,39,*must be 2
EL700F,ELD 1,0,8,8,1,8,
EL701F,ELD 1 Literacy,0,8,8,1,,
EL702F,ELD 2,0,8,8,1,8,
EL703F,ELD 2 Literacy,0,8,8,1,8,
EN601F,English,1,6,7,1,7,
EN670F,English 7,38,0,38,2,19,
EN680F,English 8,0,26,26,2,13,
EN700F,English 7,411,0,441,12,36.75,
EN701F,English 7 H,87,0,86,3,28.66666667,
EN800F,English 8,0,314,341,9,37.88888889,
EN801F,English 8 H,0,100,100,3,33.33333333,
EN9700,Eng 7 Co-Taught,24,0,24,2,12,
EN9701,Eng 7 Collab,1,0,1,1,1,
EN9702,Eng 7 PM Only,5,0,5,1,5,
EN9712,Eng 7/Puente,26,0,26,1,26,
EN9800,Eng 8 Co-Taught,0,24,24,2,12,
EN9801,Eng 8 Collab,0,2,2,1,2,
EN9802,Eng 8 PM Only,0,1,1,1,1,
EN9812,Eng 8/Puente,0,27,27,1,27,
HE970P,(E) Health,0,43,43,2,21.5,
HE9760,ACC JH Health 1,0,69,69,2,34.5,
HE9761,ACC JH Health 2,0,25,25,1,25,
HE9762,ACC JHHealth NP,0,40,40,2,20,
HE9892,Health/Multimed,0,163,163,6,27.16666667,
HE9898,Health/Comp Sci,0,169,169,4,42.25,
MA601F,Mathematics,1,6,7,1,7,
MA670F,Math 7A,36,0,36,1,36,
MA680F,Math 8A,0,29,29,1,29,
MA700F,Math 7,327,0,357,10,35.7,
MA701F,Math 7 H,81,0,81,2,40.5,
MA702F,Math 7 H-SP,118,0,118,3,39.33333333,
MA800F,Math 8,0,299,323,9,35.88888889,
MA801F,Math 8 H,0,113,113,3,37.66666667,
MA802F,Math 8 H-SP,0,46,46,2,23,
MA9700,Math 7 Co-Taught,17,0,17,2,8.5,
MA9701,Math 7 Collab,6,0,6,1,6,
MA9702,Math 7 PM Only,7,0,7,1,7,
MA9800,Math 8 Co-Taught,0,21,21,2,10.5,
MA9801,Math 8 Collab,0,1,1,1,1,
MA9802,Math 8 PM Only,0,2,2,1,2,
ND601F,Dly Liv Skl,1,6,7,1,7,
ND670F,Intensive Lit 1,28,18,46,3,15.33333333,
ND700F,AVID Middle 7,43,0,43,2,21.5,
ND710F,Yearbook,11,21,32,1,32,
ND720F,Stu Government,19,19,38,1,38,
ND723F,Conflict Resolu,10,16,26,1,26,
ND800F,AVID Middle 8,0,59,59,2,29.5,
ND840F,Dept Teach Aide,0,13,13,1,13,
ND841F,Office Aide,0,40,40,2,20,
ND845F,Library Asst 1,0,5,5,1,5,
PE601F,Adaptive PE,1,3,4,1,4,
PE700F,PE-7,592,0,592,12,49.33333333,
PE800F,PE-8,0,515,515,10,51.5,
SC601F,Science,1,6,7,1,7,
SC670F,Integ Sci 7,37,0,37,2,18.5,
SC680F,Integ Sci 8,0,25,25,2,12.5,
SC700F,Integ Sci 7,424,0,445,13,34.23076923,
SC701F,Integ Sci 7 H,101,0,110,3,36.66666667,
SC800F,Integ Sci 8,0,318,337,10,33.7,
SC801F,Integ Sci 8 H,0,141,149,4,37.25,
SC9700,Int Sci 7 Co-Taught,9,0,9,1,9,
SC9701,Int Sci 7 Collab,14,0,14,2,7,
SC9702,Int Sci 7 PM Only,7,0,7,1,7,
SC9800,Int Sci 8 Co-Taught,0,8,8,1,8,
SC9801,Int Sci 8 Collab,0,15,15,2,7.5,
SC9802,Int Sci 8 PM Only,0,4,4,1,4,
SS601F,Social Science,1,6,7,1,7,
SS670F,Wrld Hist/Geo,38,0,38,2,19,
SS680F,US Hist/Geo,0,26,26,2,13,
SS700F,Wrld Hist/Geo,344,0,373,10,37.3,
SS701F,Wrld Hist/Geo H,63,0,63,2,31.5,
SS702F,Wld His/GeoH-SP,118,0,118,3,39.33333333,
SS800F,US Hist/Geo,0,258,284,8,35.5,
SS801F,US Hist/Geo H,0,155,155,4,38.75,
SS802F,US His/Geo H-SP,0,46,46,2,23,
SS9700,W. Hist 7 Co-Taught,10,0,10,1,10,
SS9701,W. Hist 7 Collab,13,0,13,2,6.5,
SS9702,W. Hist 7 PM Only,6,0,6,1,6,
SS9800,US Hist 8 Co-Taught,0,9,9,1,9,
SS9801,US Hist 8 Collab,0,14,14,2,7,
SS9802,US Hist 8 PM Only,0,3,3,1,3,
VP749F,Band 1,74,39,113,4,28.25,
VP751F,Percussion 1,24,24,48,2,24,
VP752F,Modern Band,54,46,100,3,33.33333333,
VP771F,Chorus 1,9,10,19,1,19,
VP824F,Art 2,0,37,37,1,37,
VP850F,Band 3,20,36,56,2,28,
VP9800,Art/Photo,284,20,304,10,30.4,
VP9891,Adv Modern Band,0,17,17,1,17,
WL100F,Spanish 1,0,37,37,1,37,
WL101F,Span Speakers 1,39,34,73,3,24.33333333,
WL201F,Span Speakers 2,109,7,116,3,38.66666667,
WL302F,Span Speakers 3,0,35,35,1,35,
