group_name,course_id,constraint_type,notes
DLI 8,SS802F,hard,
DLI 8,MA802F,hard,
DLI 8,WL302F,hard,
DLI 8 + Honors 8,SS802F,soft,
DLI 8 + Honors 8,MA802F,soft,
DLI 8 + Honors 8,WL302F,soft,
DLI 8 + Honors 8,EN801F,soft,
DLI 8 + Honors 8,SC801F,soft,
DLI 7,WL201F,soft,
DLI 7,MA702F,hard,
DLI 7,SS702F,hard,
DLI 7 + Honors 7,WL201F,soft,
DLI 7 + Honors 7,MA702F,soft,
DLI 7 + Honors 7,SS702F,soft,
DLI 7 + Honors 7,EN701F,soft,
DLI 7 + Honors 7,SC701F,soft,
Honors 7 spread,EN701F,soft,
Honors 7 spread,MA701F,soft,
Honors 7 spread,SC701F,soft,
Honors 7 spread,SS701F,soft,
Honors 8 spread,EN801F,soft,
Honors 8 spread,MA801F,soft,
Honors 8 spread,SC801F,soft,
Honors 8 spread,SS801F,soft,
SDC 7,MA670F,soft,
SDC 7,EN670F,soft,
SDC 7,SS670F,soft,
SDC 7,SC670F,soft,
SDC 8,MA680F,soft,
SDC 8,EN680F,soft,
SDC 8,SS680F,soft,
SDC 8,SC680F,soft,
Puente 8 conflict,SS802F,hard,
Puente 8 conflict,MA802F,hard,
Puente 8 conflict,WL302F,hard,
Puente 8 conflict,EN9812,hard,
Puente 7 conflict,WL201F,soft,
Puente 7 conflict,MA702F,soft,
Puente 7 conflict,SS702F,soft,
Puente 7 conflict,EN9712,soft,
SDC Lit conflict,EN670F,soft,
SDC Lit conflict,EN680F,soft,
SDC Lit conflict,ND670F,soft,
7th Grade Co Taught,MA9700,soft,
7th Grade Co Taught,EN9700,soft,
7th Grade Co Taught,SC9700,hard,
7th Grade Co Taught,SS9700,hard,
8th Grade Co Taught,EN9800,soft,
8th Grade Co Taught,MA9800,soft,
8th Grade Co Taught,SC9800,soft,
8th Grade Co Taught,SS9800,soft,
